Date,Price
27/12/2021,3829.564941
03/01/2022,3157.751465
10/01/2022,3350.921875
17/01/2022,2535.039063
24/01/2022,2603.466553
31/01/2022,3057.476074
07/02/2022,2883.463379
14/02/2022,2628.648438
21/02/2022,2621.801758
28/02/2022,2555.037354
07/03/2022,2518.94458
14/03/2022,2860.459229
21/03/2022,3291.577637
28/03/2022,3522.833496
04/04/2022,3211.866943
11/04/2022,2993.40332
18/04/2022,2922.732666
25/04/2022,2827.756104
02/05/2022,2517.459961
09/05/2022,2145.706787
16/05/2022,2043.170166
23/05/2022,1812.031006
30/05/2022,1805.204956
06/06/2022,1445.216553
13/06/2022,1127.656494
20/06/2022,1199.831665
27/06/2022,1073.766968
04/07/2022,1168.401611
11/07/2022,1338.635742
18/07/2022,1599.476685
25/07/2022,1681.517334
01/08/2022,1699.35083
08/08/2022,1936.802002
15/08/2022,1619.31897
22/08/2022,1430.547363
29/08/2022,1577.641602
05/09/2022,1761.800049
12/09/2022,1335.329102
19/09/2022,1294.216797
26/09/2022,1276.093506
03/10/2022,1322.604248
10/10/2022,1306.296631
17/10/2022,1363.447021
24/10/2022,1590.783325
31/10/2022,1572.234741
07/11/2022,1221.819214
14/11/2022,1142.466675
21/11/2022,1195.126953
28/11/2022,1280.256592
05/12/2022,1263.86853
12/12/2022,1184.71521
19/12/2022,1218.962036
26/12/2022,1200.964844
02/01/2023,1287.359497
09/01/2023,1552.479492
16/01/2023,1628.38208
23/01/2023,1646.15564
30/01/2023,1631.645874
06/02/2023,1515.033691
13/02/2023,1681.436157
20/02/2023,1640.817139
27/02/2023,1564.46875
06/03/2023,1590.292969
13/03/2023,1785.576538
20/03/2023,1775.676758
27/03/2023,1795.70813
03/04/2023,1859.387817
10/04/2023,2120.005859
17/04/2023,1862.062012
24/04/2023,1876.924316
01/05/2023,1873.076416
08/05/2023,1800.500977
15/05/2023,1804.531372
22/05/2023,1910.914185
29/05/2023,1890.51355
05/06/2023,1753.415283
12/06/2023,1720.577515
19/06/2023,1900.506104
26/06/2023,1937.438354
03/07/2023,1863.009766
10/07/2023,1923.681885
17/07/2023,1889.19165
24/07/2023,1861.643799
31/07/2023,1827.462036
07/08/2023,1839.280151
14/08/2023,1684.852051
21/08/2023,1657.513062
28/08/2023,1636.117676
04/09/2023,1616.828857
11/09/2023,1622.896729
18/09/2023,1580.853394
25/09/2023,1733.810425
02/10/2023,1633.548584
09/10/2023,1558.069824
16/10/2023,1663.429932
23/10/2023,1795.546021
30/10/2023,1894.157715
06/11/2023,2045.187012
13/11/2023,2013.204468
20/11/2023,2063.286133
27/11/2023,2193.69165
04/12/2023,2352.462646
11/12/2023,2196.481201
18/12/2023,2265.692139
25/12/2023,2281.471191
01/01/2024,2222.865967
08/01/2024,2472.241211
15/01/2024,2453.913086
22/01/2024,2257.20874
29/01/2024,2289.546143
05/02/2024,2507.570557
12/02/2024,2878.998047
19/02/2024,3112.697266
26/02/2024,3490.993652
04/03/2024,3881.193115
11/03/2024,3642.413086
18/03/2024,3454.636475
25/03/2024,3647.856445
01/04/2024,3453.494629
08/04/2024,3156.941895
15/04/2024,3147.288574
22/04/2024,3262.774658
29/04/2024,3137.249023
06/05/2024,2928.701904
13/05/2024,3071.843018
20/05/2024,3825.897461
27/05/2024,3780.895996
03/06/2024,3705.903809
10/06/2024,3620.563477
17/06/2024,3418.611816
24/06/2024,3432.88916
01/07/2024,2929.387207
08/07/2024,3244.079102
15/07/2024,3536.605469
22/07/2024,3271.4646
29/07/2024,2686.398926
05/08/2024,2553.252197
12/08/2024,2613.357178
19/08/2024,2749.157715
26/08/2024,2427.902344
02/09/2024,2297.292969
09/09/2024,2320.897217
16/09/2024,2582.862549
23/09/2024,2659.346924
30/09/2024,2439.957764
07/10/2024,2467.677002
14/10/2024,2746.364014
21/10/2024,2505.940674
28/10/2024,2456.425293
04/11/2024,3191.331299
11/11/2024,3075.661621
18/11/2024,3363.659912
25/11/2024,3711.165039
02/12/2024,4005.70459
09/12/2024,3951.941162
16/12/2024,3277.535156
23/12/2024,3349.513428
30/12/2024,3634.10376
06/01/2025,3265.951172
13/01/2025,3208.964355
20/01/2025,3236.134277
27/01/2025,2868.692871
03/02/2025,2628.721191
10/02/2025,2663.315918
17/02/2025,2821.310303
24/02/2025,2519.69458
03/03/2025,2015.509155
10/03/2025,1887.435059
17/03/2025,2005.299194
24/03/2025,1806.218628
31/03/2025,1576.728027
07/04/2025,1596.685791
14/04/2025,1587.514282
21/04/2025,1792.86499
28/04/2025,1808.594238
05/05/2025,2510.237793
12/05/2025,2498.233643
19/05/2025,2551.763916
26/05/2025,2536.266357
02/06/2025,2510.787109
09/06/2025,2546.837158
16/06/2025,2228.213135
23/06/2025,2500.959961
30/06/2025,2571.236572
07/07/2025,2973.358887
14/07/2025,3759.471436
21/07/2025,3875.246582
28/07/2025,3497.37915
04/08/2025,4254.217773
11/08/2025,4473.271484
18/08/2025,4779.647461
25/08/2025,4390.019043
01/09/2025,4305.347656
08/09/2025,4609.597656
15/09/2025,4451.329102
22/09/2025,4141.476563
29/09/2025,4515.422852
06/10/2025,4164.427734
13/10/2025,3984.649658
20/10/2025,3980.760254
